timestamp,sensor_id,depth_m,cum_disp_north_mm,cum_disp_east_mm,resultant_mm
2026-05-29 12:20:37,1a,1.0,0.11412976478742998,0.9925713856003107,0.9991113845427619
2026-05-29 12:20:37,2a,2.0,0.21447777867440188,0.81876352710945,0.8463890540819942
2026-05-29 12:20:37,3a,3.0,0.7337384734338368,1.1185588290084034,1.3377391380047412
2026-05-29 12:20:37,4a,4.0,0.33136864230804086,1.815534880589734,1.845527588453517
2026-05-29 12:20:37,5a,5.0,0.5325385009460515,1.4664545663077853,1.5601558415859687
2026-05-29 12:20:37,6a,6.0,0.11302256233686236,0.9933191363198652,0.9997284662229204
2026-05-29 12:20:37,7a,7.0,0.43916072892103486,0.029312753650582835,0.4401379140144989
2026-05-29 12:20:37,8a,8.0,0.1663081125517074,0.10228017627174779,0.19524247170810755
2026-05-29 12:20:37,9a,9.0,0.7920348382762263,0.2241945720479528,0.8231539292131289
2026-05-29 12:20:37,10a,10.0,0.6918718857286912,0.3976000363482193,0.7979802598848422
2026-05-29 12:20:37,11a,11.0,0.5177272233308265,0.29726959922960106,0.5970014174220821
2026-05-29 12:20:37,12a,12.0,0.5174022267513649,0.29783250981751763,0.5970002245824306
2026-05-29 12:20:37,13a,13.0,0.5173714912214677,0.29781476465105783,0.596964734279078
2026-05-29 12:20:37,14a,14.0,0.5172923592912895,0.2979518251746285,0.5969645509626521
2026-05-29 12:20:37,15a,15.0,0.0,0.0,0.0
